logFC,logCPM,F,PValue,FDR,Gene,rank
-0.0890279282764413,5.41666416280555,1.2976862160696,0.261212396622683,0.374418887375293,IQCE,-0.583006216152432
-0.118849654097537,7.07306876274239,1.2978421871301,0.261179467843023,0.374404395279427,NIBAN2,-0.583060967339401
-0.0633696441271982,4.03717475399389,1.29891131386243,0.261035573544336,0.374263517189398,EML5,-0.583300303614789
-0.0908915522266671,3.45712441481528,1.29977610802199,0.260969930398163,0.374237515456391,LYSMD1,-0.583409530265056
-0.199095141863887,2.04429237757265,1.29011175745553,0.260963748281621,0.374237515456391,USHBP1,-0.583419818388663
-0.139777020075119,5.6529442756415,1.30000573470833,0.260791659905254,0.374142655917234,USP54,-0.583706301418042
-0.113246766888474,3.11808247995585,1.30186314172065,0.260654558509748,0.373988502337765,BAIAP2,-0.583934675424022
-0.197021531984305,1.92143927192317,1.28911690363148,0.260560466068406,0.373941758702914,PRTG,-0.584091477613447
-0.178085832482358,1.65803370297175,1.28504351921884,0.25999544715477,0.373392148526517,RAB41,-0.585034257001769
-0.22520835663141,1.9682874199027,1.29463104333324,0.25977859021467,0.373146030661149,FLRT1,-0.585396644389908
-0.124755034224329,2.08765846542793,1.30113787755819,0.259169059401637,0.372397328550456,PSTK,-0.586416847451151
-0.0947429064003363,4.87154129783502,1.30964738118723,0.259066188993379,0.372285691802712,CENPC,-0.586589263555161
-0.0626360770187678,5.62703841024394,1.31072109945535,0.258866050783364,0.37206325869424,RNF220,-0.586924901763708
-0.0629408989249116,5.74463910239986,1.3120774469744,0.25862298862159,0.371811618093669,MAP4K3,-0.587332873934489
-0.11566561107495,3.35899233034294,1.3131870730802,0.258583443945626,0.371811618093669,MSANTD1,-0.587399284688539
-0.0669124699893086,3.6992071648574,1.31331945181159,0.258492225382266,0.37172133515094,RAB11B-AS1,-0.587552514559814
-0.0442613765485484,5.99234899955396,1.31397221726833,0.258283778021431,0.37151926271374,NSFL1C,-0.587902869618453
-0.0827867638651568,4.74538641946041,1.31674796418312,0.257801467997743,0.371020654934389,BOD1,-0.588714613974455
-0.212566205642445,2.24318074556503,1.31351191623463,0.257517748752729,0.370677359552134,REEP1,-0.58919283295393
-0.0903932311747708,3.73566581009332,1.31908387330381,0.257460415695359,0.370659866695573,AVEN,-0.589289533871633
-0.4897121909947,2.16847525324521,1.31282119525691,0.257256932521529,0.370431921791421,SP8,-0.589632913104777
-0.0983280808579928,4.90451629700883,1.3200044124923,0.257219726920631,0.370410854775646,FN3KRP,-0.58969572717767
-0.231527887194811,2.45215422375376,1.31869288373906,0.257155451403009,0.370350798439443,ATP6V0D1-DT,-0.589804264696377
-0.159502512862747,2.61295823101902,1.32238367057803,0.256780169877119,0.369875254792711,KRBA2,-0.590438518163441
-0.0568884777555487,4.17587042297004,1.32307685471319,0.256702804237873,0.369828748084557,MTRES1,-0.59056938704191
-0.259037835113105,1.73172470858978,1.30507407554388,0.256679414438002,0.369827523015345,NXPH3,-0.590608960134449
-0.236795187649546,1.59914281699693,1.30273581227985,0.256517272680787,0.369626364287903,LRRC18,-0.59088338619586
-0.127776007126262,8.27517458566727,1.32494151563045,0.256334259713412,0.369395093393436,TNFSF10,-0.591193345395361
-0.0804108239423881,6.1135005338601,1.32626567382106,0.25610253669797,0.369158431181612,IDH3A,-0.591586119819448
-0.152315469948108,7.38640459937804,1.32631586956486,0.256091984808013,0.369158431181612,CDK5RAP3,-0.591604013910033
-0.163167834258223,4.52804040714893,1.33329273089476,0.254885572766115,0.367598002807983,BRINP3,-0.593654746113271
-0.0763278907796991,3.56994066806014,1.33545643493734,0.254604124855944,0.367224374176893,PCGF1,-0.594134564595702
-0.072325101135441,3.70499312554876,1.33577422016689,0.254523662587341,0.367172872844478,C1orf50,-0.594271835907183
-0.172142826086541,2.27596680289343,1.33149232872983,0.254446808119326,0.367094278345371,ZFP92,-0.59440299271703
-0.120573716503753,4.39250176246698,1.33643069904941,0.254341387329121,0.367006726171508,EPB41L1,-0.594582964141402
-0.0847034884582903,5.36849790476827,1.3369449020954,0.254230585428543,0.366901348387692,DDX27,-0.594772202468893
-0.164975306016781,4.93469492558082,1.33749858300588,0.254139108682645,0.366811619921256,ZNF320,-0.594928497570096
-0.171232566846441,3.91593327506577,1.33948541375972,0.253845791735991,0.366450034309363,ZNF738,-0.595430031948117
-0.0898099255740996,4.50973280901858,1.33938023266895,0.2538211923507,0.366449460984627,ACOT2,-0.595472120079247
-0.0511851357764482,6.65308226148633,1.34103731695172,0.253511722112198,0.366131532120143,GBF1,-0.596001954551773
-0.0640199339138144,5.31779156997765,1.34135409765966,0.25346169228105,0.366091500611573,SMPD1,-0.596087669814355
-0.109354714919892,8.48702939111974,1.34496382271923,0.25282774509508,0.365207997316672,PRR13,-0.597175268678751
-0.0577682341725404,6.03738043325533,1.34618214817202,0.252618731367228,0.36497033937426,MTMR3,-0.597534450186782
-0.0794355939505372,4.57091999590465,1.3466042210097,0.252562811257761,0.364921680795821,COX10,-0.597630596989541
-0.0612162067528993,5.46795697531177,1.34876163777802,0.252174625521411,0.364532574402937,DNAJB12,-0.598298615425285
-0.084105343406703,5.56832297910805,1.34911858233435,0.252112210634934,0.364495299330161,EPC1,-0.598406119484407
-0.128574707071726,6.32151841480952,1.34915631722919,0.252103012343638,0.364495299330161,PAN3,-0.598421964968522
-0.171456914706681,2.41227036887429,1.34805621224454,0.251930066485853,0.364296160297865,NRXN2,-0.598719998719903
-0.0645271331156542,6.82021991939189,1.35153602728204,0.251690999744526,0.364078808411195,NDUFA5,-0.599132314174221
-0.202553074117427,1.55321134770225,1.33336104432524,0.250887473558733,0.36304450711277,PCDHB16,-0.600521021826591
-0.149898274341704,2.87220230499096,1.35960635135801,0.250486645807319,0.362496461845695,TMEM51-AS1,-0.601215422718042
-0.287698823932434,1.52224087622477,1.33645408505771,0.250284360793852,0.362299584640981,NRN1L,-0.601566286760652
-0.244454559777348,3.04815243401412,1.36132586736966,0.25021106902611,0.362225447377838,ABCA9,-0.601693481570554
-0.0763929584556881,5.00340819400196,1.36075984026528,0.250114146958064,0.362149040177189,WDR83,-0.601861743007352
-0.209462020191764,1.7989284202959,1.34490160894451,0.249958287883054,0.361987253979272,TGM1,-0.602132458742542
-0.0824091393533207,4.65690367263528,1.36198874519515,0.249910995960121,0.361950712482449,MEAK7,-0.602214634710914
-0.162017685693486,1.6231107197641,1.34072971110043,0.24983629251184,0.361874460410865,KIAA1614-AS1,-0.602344473516877
-0.0826610407529764,6.28127094402068,1.36234270875997,0.249835135176217,0.361874460410865,FUCA2,-0.602346485336832
-0.106948504365112,4.27086521115761,1.36272477735252,0.249801266173847,0.361874460410865,NPRL2,-0.602405364637138
-0.183831439736053,1.81694507643272,1.34700963908652,0.249691025053465,0.361823751574429,TRIM17,-0.602597067739985
-0.0738413088813564,7.17343994525513,1.36352392200381,0.249632014616293,0.361770190410187,PCGF5,-0.602699718350199
-0.252838059724807,2.02657169635698,1.35388613860768,0.249533912943134,0.361723866381389,TMOD4,-0.602870423174044
-0.080833512037065,6.27717348284983,1.36598248065473,0.249213663730882,0.361451232608177,HELZ,-0.603428150133871
-0.178735988487776,4.39037452662843,1.36713369289332,0.249042988203641,0.361267558168627,NPHP3,-0.603725681304957
-0.0754319684372907,5.89551631830893,1.36732882745399,0.248985279783763,0.361215779902032,DHX38,-0.603826327995257
-0.186328532921027,3.08390946758751,1.3685926169861,0.248973624611099,0.361215779902032,NPIPA8,-0.603846658095312
-0.0830242602707048,5.15538635713833,1.36847575092914,0.248795220864449,0.361003889630694,PCBP2-OT1,-0.604157966312942
-0.185912341408051,2.99306447028086,1.37559459627514,0.247785928729094,0.359762102343773,CACNA1A,-0.605923359981031
-0.100737134726949,5.75622573927677,1.37481272521207,0.247715627820011,0.359691860289445,SLC35B1,-0.606046593890951
-0.169902386795852,3.16866811918644,1.37623397574418,0.247671070780168,0.359658990119567,XKR6,-0.606124718219443
-0.290542022270176,2.46634444810048,1.37540300859583,0.247335611000464,0.359267236658605,LINC00960,-0.606713350086006
-0.203117702443637,2.13176486687746,1.37107561947434,0.247066580859521,0.358971793034891,LCDR,-0.60718599490487
-0.0773390186199132,6.2659741524026,1.3789078365949,0.247022418423866,0.358939412105809,SECISBP2,-0.607263630724293
-0.111945682445371,4.34079158053954,1.38339262074164,0.246295442442918,0.358210299895447,ZNF7,-0.608543624458926
-0.0865765111905291,7.96390752527913,1.3859539401006,0.245836540672369,0.357627977600162,ALDH2,-0.609353563951937
-0.0832363930058091,6.15891312677627,1.38629403070003,0.24578129078665,0.357579306546139,PIK3CB,-0.609451179290759
-0.131701993315148,4.58990353580134,1.38691623282312,0.245694361313025,0.357484533158119,EFHC1,-0.609604810466354
-0.12956658998706,4.64217741272416,1.3870240140713,0.24567473800164,0.357484533158119,TLN2,-0.609639498426453
-0.103405541176834,5.82593219011615,1.38776053797573,0.245536836547214,0.357318706347378,TNRC6B,-0.60988334382986
-0.164191004207196,4.33740479196507,1.39289007273226,0.244707370728088,0.356238003629356,TOP3B,-0.611352949249246
-0.112415467750782,1.69782605860518,1.37256381289239,0.244682548746206,0.35623347469634,TMLHE-AS1,-0.611397004303678
-0.140766105543406,4.39292742757238,1.39599638058525,0.244187763322708,0.355576217660542,LZTS3,-0.612276103104394
-0.155704055160398,1.63196337675261,1.37420007189819,0.24408993145481,0.35546530534397,TIGD4,-0.61245013456807
-0.0771225465107069,5.20649353335929,1.3978708514141,0.24385679277804,0.355188837630012,PACS2,-0.61286514236919
-0.161294675964314,2.31642306106265,1.39459474018094,0.243776353405797,0.355103196615973,MIR7844,-0.613008423752268
-0.188389323386103,1.69811371272457,1.38296486077987,0.242910153050094,0.354030004551957,BSN,-0.614554332368696
-0.170681296585419,2.41182359934353,1.40247592811283,0.242718231977277,0.35378171362558,KATNAL2,-0.614897600059772
-0.0965252234787068,6.51452567326834,1.40573387755227,0.242550760419446,0.353600433315173,RNF103,-0.615197359481737
-0.175218246256096,4.89707275600732,1.40639788459546,0.242451996077798,0.35348785779674,ZNF337,-0.615374236040085
-0.678298630201311,2.84681286078877,1.408228897237,0.242211371194101,0.353168415405031,HLA-V,-0.615805471717635
-0.0550623520571364,6.78015776654136,1.40866756830121,0.242067549739938,0.353052831656258,UBR2,-0.616063425814164
-0.0851568381864239,4.62605059293156,1.4097449713581,0.241907810131673,0.352945344890672,MTNAP1,-0.616350109966631
-0.141236118795836,4.1066365537479,1.41414451186927,0.241214420560654,0.352152879487428,NICN1,-0.617596732258628
-0.132295405319783,6.81409462688121,1.4146547221675,0.241085967169021,0.351996667495044,BTAF1,-0.617828067757856
-0.0837641680688538,4.91398581482361,1.4172057657449,0.240679919871838,0.351560235489817,ZNF622,-0.618560141767487
-0.156127764458649,3.06236588764243,1.42055758990059,0.24033350644614,0.351148011911689,ALOX12,-0.619185677176754
-0.122928878392688,7.04884406132161,1.42010420174643,0.240196664018816,0.351041851182037,CERS6,-0.619433028607887
-0.0533893668164737,7.48527725082295,1.42618917260473,0.239208427981355,0.34978450105321,PPP4R3B,-0.621223523005887
-0.0893480084957679,5.09613690132386,1.42858417020066,0.238829381446213,0.34938592107431,ZNF621,-0.621912246156442
-0.634160754505707,1.89494203544204,1.41255523486633,0.238814776623066,0.34938592107431,DRGX,-0.621938804815211
-0.297542874874381,1.75823665758891,1.41013848863674,0.238656748489421,0.349257931610276,MYO15A,-0.62222628059261
